date,end_of_day,vol
2021-06-21,1900.1223,
2021-06-22,1875.3577,
2021-06-23,1971.106,
2021-06-24,1990.0762,
2021-06-25,1833.4632,
2021-06-26,1817.0477,
2021-06-27,1973.9269,
2021-06-28,2087.5187,
2021-06-29,2169.4001,
2021-06-30,2279.3542,
2021-07-01,2121.6579,
2021-07-02,2157.8806,
2021-07-03,2228.5324,
2021-07-04,2329.0048,
2021-07-05,2217.3019,
2021-07-06,2320.6549,
2021-07-07,2317.2369,
2021-07-08,2126.4425,
2021-07-09,2156.581,
2021-07-10,2123.0586,
2021-07-11,2144.0143,
2021-07-12,2042.4992,
2021-07-13,1944.395,
2021-07-14,1997.6633,
2021-07-15,1910.727,
2021-07-16,1874.2002,
2021-07-17,1899.8428,
2021-07-18,1905.7234,
2021-07-19,1824.9294,
2021-07-20,1794.9734,
2021-07-21,2003.7239,
2021-07-22,2027.5334,
2021-07-23,2117.1546,
2021-07-24,2183.6274,
2021-07-25,2209.4994,
2021-07-26,2230.2121,
2021-07-27,2292.5796,
2021-07-28,2299.6894,
2021-07-29,2383.4433,
2021-07-30,2462.4,
2021-07-31,2541.6746,
2021-08-01,2555.4082,
2021-08-02,2611.6731,
2021-08-03,2521.2685,
2021-08-04,2724.5322,
2021-08-05,2821.6497,
2021-08-06,2888.7323,
2021-08-07,3151.2175,
2021-08-08,3012.3086,
2021-08-09,3163.0647,
2021-08-10,3147.843,
2021-08-11,3166.6472,
2021-08-12,3048.4127,
2021-08-13,3323.198,
2021-08-14,3268.5482,
2021-08-15,3309.7549,
2021-08-16,3153.5837,
2021-08-17,3007.144,
2021-08-18,3037.2303,
2021-08-19,3144.8184,
2021-08-20,3276.9698,
2021-08-21,3224.0005,
2021-08-22,3243.4864,
2021-08-23,3320.4092,
2021-08-24,3177.6638,
2021-08-25,3231.4415,
2021-08-26,3122.9718,
2021-08-27,3267.5394,
2021-08-28,3245.4302,
2021-08-29,3233.3832,
2021-08-30,3232.7339,
