date,end_of_day,vol
2022-01-01,178.88879762342907,
2022-01-02,176.32149989503122,
2022-01-03,170.57083886740085,
2022-01-04,168.0394848714517,
2022-01-05,155.71670664692078,
2022-01-06,150.72362465772903,
2022-01-07,136.6133086353095,
2022-01-08,142.37691491093904,
2022-01-09,140.97069019412947,
2022-01-10,135.98215275078118,
2022-01-11,140.2633692449685,
2022-01-12,151.92225384391546,
2022-01-13,146.8991625118502,
2022-01-14,146.31283636345285,
2022-01-15,147.70351003866236,
2022-01-16,147.94236767494985,
2022-01-17,140.0483723855377,
2022-01-18,141.634144063378,
2022-01-19,135.5936205367398,
2022-01-20,128.56948450207307,
2022-01-21,111.77542786353777,
2022-01-22,94.51541078123918,
2022-01-23,99.69162217459098,
2022-01-24,91.91541131637003,
2022-01-25,95.09282864333939,
2022-01-26,92.24801292004712,
2022-01-27,89.60158614183815,
2022-01-28,91.42580267920562,
2022-01-29,96.17869128153504,
2022-01-30,93.40252902879779,
2022-01-31,99.88984753621435,
2022-02-01,110.12732330616494,
2022-02-02,101.8292164519742,
2022-02-03,100.87832034717168,
2022-02-04,112.48079518340074,
2022-02-05,114.33315412383556,
2022-02-06,115.2834781341491,
2022-02-07,117.67187313780884,
2022-02-08,113.69745549618692,
2022-02-09,114.34358742446604,
2022-02-10,106.41810262178213,
2022-02-11,96.46324431285534,
2022-02-12,95.70003429059713,
2022-02-13,93.36714504855237,
2022-02-14,96.44224243421378,
2022-02-15,104.85069673096622,
2022-02-16,101.95613259465958,
2022-02-17,93.4045235835354,
2022-02-18,90.10899056118771,
2022-02-19,91.60559213966147,
2022-02-20,90.80316641928688,
2022-02-21,83.14387140523519,
2022-02-22,86.57269722666857,
2022-02-23,85.26903088293193,
2022-02-24,89.05132726925892,
2022-02-25,92.73641556746163,
2022-02-26,90.10798522206623,
2022-02-27,85.56819666616444,
2022-02-28,99.57917400308274,
2022-03-01,98.75845247572444,
2022-03-02,100.78986523175992,
2022-03-03,95.55882629437178,
2022-03-04,88.2451628518882,
2022-03-05,89.78895188514215,
2022-03-06,84.63923583859497,
2022-03-07,82.06724918865827,
2022-03-08,82.25360674455618,
2022-03-09,88.185052838507,
2022-03-10,83.02500801904657,
2022-03-11,80.69121367419427,
2022-03-12,81.60999773356421,
2022-03-13,78.99818199674436,
2022-03-14,81.16870194524185,
2022-03-15,82.94439063872372,
2022-03-16,87.84993508447106,
2022-03-17,87.96768776096062,
2022-03-18,89.90595375292516,
2022-03-19,92.40408532356939,
2022-03-20,88.59618802144291,
2022-03-21,88.7701729513472,
2022-03-22,90.50413587116581,
2022-03-23,94.9197584526827,
2022-03-24,102.1802283204168,
2022-03-25,98.6467426834056,
2022-03-26,101.64121040495988,
2022-03-27,106.90984972476438,
2022-03-28,106.24001892236811,
2022-03-29,111.74644646494659,
2022-03-30,120.6985421756732,
2022-03-31,122.76130420785864,
2022-04-01,134.3709278834371,
2022-04-02,132.265543980239,
2022-04-03,136.6745408370863,
2022-04-04,132.34498367671756,
2022-04-05,126.60568047767862,
2022-04-06,112.52902554657368,
2022-04-07,118.68839511414586,
2022-04-08,109.69148769667358,
2022-04-09,113.00645605235755,
2022-04-10,112.17415972141916,
2022-04-11,99.4525253186753,
2022-04-12,103.5030349870942,
2022-04-13,104.84447690095557,
2022-04-14,100.73923844736916,
2022-04-15,101.34727865599696,
2022-04-16,102.31192588830538,
2022-04-17,100.4425980848116,
2022-04-18,102.2653514381208,
2022-04-19,108.54104696942882,
2022-04-20,105.5952606987279,
2022-04-21,101.80288174581625,
2022-04-22,100.63914018210745,
2022-04-23,100.76479327231522,
2022-04-24,99.17128671058997,
2022-04-25,101.29344264300205,
2022-04-26,95.71302246920415,
2022-04-27,98.3678448915887,
2022-04-28,98.00485093884978,
2022-04-29,94.09484079716263,
2022-04-30,85.30298356157343,
2022-05-01,89.73834617404604,
2022-05-02,87.6049851260926,
2022-05-03,85.88113182978256,
2022-05-04,92.82061835080546,
2022-05-05,84.62182696838384,
2022-05-06,81.76031251495388,
2022-05-07,79.1909801214645,
2022-05-08,74.92241129843457,
2022-05-09,63.59080375212239,
2022-05-10,66.73197492092409,
2022-05-11,50.32055764767889,
2022-05-12,44.64907159879217,
2022-05-13,48.604749742620285,
2022-05-14,52.53693016663614,
2022-05-15,58.845207179976505,
2022-05-16,53.64872755824407,
2022-05-17,57.41976646466422,
2022-05-18,49.76196637946705,
2022-05-19,52.332264069475926,
2022-05-20,49.58463231269403,
2022-05-21,50.34352259407359,
2022-05-22,52.767400507738245,
2022-05-23,49.12044024307904,
2022-05-24,49.636798974862586,
2022-05-25,48.056134850350986,
2022-05-26,43.546922400599904,
2022-05-27,40.99753816385139,
2022-05-28,44.46481243620848,
2022-05-29,44.92918554220565,
2022-05-30,47.19388053427913,
2022-05-31,45.97177874707522,
2022-06-01,40.24040840767166,
2022-06-02,40.889861237118055,
2022-06-03,38.27578860880165,
2022-06-04,38.977511864594476,
2022-06-05,38.46322506754232,
2022-06-06,42.41060097547512,
2022-06-07,39.54988117863195,
2022-06-08,38.84247541383652,
2022-06-09,39.968293957459224,
2022-06-10,37.08479689474987,
2022-06-11,33.807388422050096,
2022-06-12,30.743227017287673,
2022-06-13,28.19296638841233,
2022-06-14,29.71678758953202,
2022-06-15,34.488080805614366,
2022-06-16,30.07068349379034,
2022-06-17,30.872720498925386,
2022-06-18,31.81920871210764,
2022-06-19,34.19205503380821,
2022-06-20,35.469042360178356,
2022-06-21,36.13937945011591,
2022-06-22,34.23012589505999,
2022-06-23,38.21182318782288,
2022-06-24,42.477220280035226,
2022-06-25,42.386373142046885,
2022-06-26,39.498441762282916,
2022-06-27,38.50106935796682,
2022-06-28,35.326033591585926,
2022-06-29,33.91501146159494,
2022-06-30,33.31459552878431,
2022-07-01,33.03847781026744,
2022-07-02,33.42207503046209,
2022-07-03,33.44782701859301,
2022-07-04,36.77949394045729,
2022-07-05,35.32196887460825,
2022-07-06,37.09265792987144,
2022-07-07,38.546664352464504,
2022-07-08,38.594429443195615,
2022-07-09,38.06013313228005,
